title,price_gbp,rating,in_stock
A Light in the Attic,51.77,3,1
Tipping the Velvet,53.74,1,1
Soumission,50.1,1,1
Sharp Objects,47.82,4,1
Sapiens: A Brief History of Humankind,54.23,5,1
The Black Maria,52.15,1,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,1
Libertarianism for Beginners,51.33,2,1
It's Only the Himalayas,45.17,2,1
Birdsong: A Story in Pictures,54.64,3,1
Aladdin and His Wonderful Lamp,53.13,3,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,1
Wall and Piece,44.18,4,1
Behind Closed Doors,52.22,4,1
Slow States of Collapse: Poems,57.31,3,1
Private Paris (Private #10),47.61,5,1
Without Borders (Wanderlove #1),45.07,2,1
"We Love You, Charlie Freeman",50.27,5,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,1
The Secret of Dreadwillow Carse,56.13,1,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,1
The Past Never Ends,56.5,4,1
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,1
The Murder That Never Was (Forensic Instincts #5),54.11,3,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,1
The Death of Humanity: and the Case for Life,58.11,4,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,1
The Art Forger,40.76,3,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,1
Masks and Shadows,56.4,2,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,1
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,1
