title,category_name,price_gbp,price_inr,rating,in_stock
Sapiens: A Brief History of Humankind,History,54.23,5721.26,5,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5516.6,5,1
"We Love You, Charlie Freeman",Fiction,50.27,5303.48,5,1
Private Paris (Private #10),Fiction,47.61,5022.85,5,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,40.3,4251.65,5,1
Join,Science Fiction,35.67,3763.19,5,1
Rip it Up and Start Again,Music,35.02,3694.61,5,1
Black Dust,Romance,34.53,3642.92,5,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,3401.32,5,1
Chase Me (Paris Nights #2),Romance,25.27,2665.98,5,1
